UID,UID_R,Claim_No,LossDate,REPORTING_DT,As_At_Date,Payment_Type,Claim_OS,OS_S&S,Claim_OS (Net of S&S),At Fault/ Not At Fault,Location_Of_Accident,Claim_Type,Sub_Claim_Type,At Fault/ Not At Fault Mapping
AG01/11B/2024/005222-2095539,AG01/11B/2024/005222-10767871,CLM/AG01/11B/2024/03377,14-08-2024,14-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020784-2095545,AG01/11B/2024/020784-10921277,CLM/AG01/11B/2024/03379,14-08-2024,14-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/002705-2095669,AG01/11B/2024/002705-10713829,CLM/AG01/11B/2024/03391,15-08-2024,15-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/011793-2095672,AG01/11B/2024/011793-10853769,CLM/AG01/11B/2024/03392,15-08-2024,15-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/012714-2095686,AG01/11B/2024/012714-10859581,CLM/AG01/11B/2024/03395,16-08-2024,16-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/058487-2095698,AG01/11B/2023/058487-10612303,CLM/AG01/11B/2024/03399,16-08-2024,16-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004622-2095700,AG01/11B/2024/004622-10769666,CLM/AG01/11B/2024/03400,16-08-2024,16-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019018-2095717,AG01/11B/2024/019018-10906611,CLM/AG01/11B/2024/03403,17-08-2024,17-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/057805-2095721,AG01/11B/2023/057805-10606023,CLM/AG01/11B/2024/03405,17-08-2024,17-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/006840-2095729,AG01/11B/2024/006840-10782371,CLM/AG01/11B/2024/03408,17-08-2024,17-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/013153-2095825,AG01/11B/2024/013153-10864598,CLM/AG01/11B/2024/03418,18-08-2024,18-08-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004248-2095842,AG01/11B/2024/004248-10733429,CLM/AG01/11B/2024/03420,18-08-2024,18-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/053340-2095848,AG01/11B/2023/053340-10563501,CLM/AG01/11B/2024/03424,18-08-2024,18-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/058192-2095852,AG01/11B/2023/058192-10608948,CLM/AG01/11B/2024/03426,18-08-2024,18-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/012843-2095855,AG01/11B/2024/012843-10862201,CLM/AG01/11B/2024/03427,17-08-2024,18-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/031645-2095858,AG01/11B/2023/031645-10537069,CLM/AG01/11B/2024/03428,02-06-2024,18-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/002282-2095953,AG01/11B/2024/002282-10708668,CLM/AG01/11B/2024/03437,19-08-2024,19-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/062825-2095961,AG01/11B/2023/062825-10666319,CLM/AG01/11B/2024/03441,19-08-2024,19-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055224-2095962,AG01/11B/2023/055224-10583593,CLM/AG01/11B/2024/03442,19-08-2024,19-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/022024-2095969,AG01/11B/2024/022024-10928967,CLM/AG01/11B/2024/03443,19-08-2024,19-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010741-2095971,AG01/11B/2024/010741-10847679,CLM/AG01/11B/2024/03445,16-08-2024,19-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/001691-2096091,AG01/11B/2024/001691-10701711,CLM/AG01/11B/2024/03455,20-08-2024,20-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015763-2096102,AG01/11B/2024/015763-10889862,CLM/AG01/11B/2024/03457,20-08-2024,20-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/060191-2096247,AG01/11B/2023/060191-10630346,CLM/AG01/11B/2024/03465,21-08-2024,21-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/016583-2096269,AG01/11B/2024/016583-10891693,CLM/AG01/11B/2024/03471,21-08-2024,21-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055883-2096349,AG01/11B/2023/055883-10586516,CLM/AG01/11B/2024/03477,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/022378-2096356,AG01/11B/2024/022378-10930716,CLM/AG01/11B/2024/03479,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/018798-2096357,AG01/11B/2024/018798-10905766,CLM/AG01/11B/2024/03480,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/022065-2096358,AG01/11B/2024/022065-10929097,CLM/AG01/11B/2024/03481,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/005958-2096366,AG01/11B/2024/005958-10764672,CLM/AG01/11B/2024/03483,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/059967-2096367,AG01/11B/2023/059967-10628962,CLM/AG01/11B/2024/03484,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/014112-2096377,AG01/11B/2024/014112-10869466,CLM/AG01/11B/2024/03487,22-08-2024,22-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/021461-2096383,AG01/11B/2024/021461-10925146,CLM/AG01/11B/2024/03488,23-08-2024,23-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/053113-2096386,AG01/11B/2023/053113-10562318,CLM/AG01/11B/2024/03489,23-08-2024,23-08-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/060912-2096407,AG01/11B/2023/060912-10637068,CLM/AG01/11B/2024/03492,24-08-2024,24-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020561-2096411,AG01/11B/2024/020561-10920196,CLM/AG01/11B/2024/03493,24-08-2024,24-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/021429-2096416,AG01/11B/2024/021429-10925010,CLM/AG01/11B/2024/03494,24-08-2024,24-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/009260-2096417,AG01/11B/2024/009260-10829059,CLM/AG01/11B/2024/03495,24-08-2024,24-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/002265-2096418,AG01/11B/2024/002265-10708435,CLM/AG01/11B/2024/03496,24-08-2024,24-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/017484-2096527,AG01/11B/2024/017484-10896323,CLM/AG01/11B/2024/03506,25-08-2024,25-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/011179-2096528,AG01/11B/2024/011179-10850029,CLM/AG01/11B/2024/03507,25-08-2024,25-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/059247-2096534,AG01/11B/2023/059247-10618886,CLM/AG01/11B/2024/03508,25-08-2024,25-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/062065-2096539,AG01/11B/2023/062065-10652659,CLM/AG01/11B/2024/03509,25-08-2024,25-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/018979-2096667,AG01/11B/2024/018979-10906471,CLM/AG01/11B/2024/03519,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020134-2096669,AG01/11B/2024/020134-10916220,CLM/AG01/11B/2024/03520,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055845-2096670,AG01/11B/2023/055845-10586404,CLM/AG01/11B/2024/03521,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019043-2096675,AG01/11B/2024/019043-10906744,CLM/AG01/11B/2024/03522,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004146-2096677,AG01/11B/2024/004146-10732605,CLM/AG01/11B/2024/03523,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/054991-2096678,AG01/11B/2023/054991-10580089,CLM/AG01/11B/2024/03524,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010365-2096682,AG01/11B/2024/010365-10845496,CLM/AG01/11B/2024/03525,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/012480-2096688,AG01/11B/2024/012480-10857890,CLM/AG01/11B/2024/03527,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/054165-2096690,AG01/11B/2023/054165-10573165,CLM/AG01/11B/2024/03528,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/009733-2096692,AG01/11B/2024/009733-10838733,CLM/AG01/11B/2024/03529,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/058150-2096696,AG01/11B/2023/058150-10608590,CLM/AG01/11B/2024/03530,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/056606-2096698,AG01/11B/2023/056606-10592256,CLM/AG01/11B/2024/03531,26-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/017261-2096704,AG01/11B/2024/017261-10895396,CLM/AG01/11B/2024/03532,25-08-2024,26-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/063995-2096816,AG01/11B/2023/063995-10681087,CLM/AG01/11B/2024/03540,27-08-2024,27-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/064253-2097020,AG01/11B/2023/064253-10683208,CLM/AG01/11B/2024/03550,28-08-2024,28-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010766-2097021,AG01/11B/2024/010766-10847640,CLM/AG01/11B/2024/03551,28-08-2024,28-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019378-2097025,AG01/11B/2024/019378-10909697,CLM/AG01/11B/2024/03552,28-08-2024,28-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/008538-2097032,AG01/11B/2024/008538-10816602,CLM/AG01/11B/2024/03553,28-08-2024,28-08-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/016386-2097040,AG01/11B/2024/016386-10891257,CLM/AG01/11B/2024/03556,28-08-2024,28-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/000797-2097197,AG01/11B/2024/000797-10691355,CLM/AG01/11B/2024/03568,29-08-2024,29-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019532-2097199,AG01/11B/2024/019532-10912247,CLM/AG01/11B/2024/03569,29-08-2024,29-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/053372-2097209,AG01/11B/2023/053372-10563646,CLM/AG01/11B/2024/03570,29-08-2024,29-08-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/006102-2097226,AG01/11B/2024/006102-10763928,CLM/AG01/11B/2024/03573,30-08-2024,30-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/013598-2097231,AG01/11B/2024/013598-10867840,CLM/AG01/11B/2024/03575,30-08-2024,30-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/023472-2097233,AG01/11B/2024/023472-10939693,CLM/AG01/11B/2024/03576,30-08-2024,30-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/021416-2097236,AG01/11B/2024/021416-10924964,CLM/AG01/11B/2024/03577,30-08-2024,30-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/008566-2097243,AG01/11B/2024/008566-10817334,CLM/AG01/11B/2024/03580,29-08-2024,30-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/006968-2097256,AG01/11B/2024/006968-10784499,CLM/AG01/11B/2024/03584,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/021976-2097264,AG01/11B/2024/021976-10928733,CLM/AG01/11B/2024/03587,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/058337-2097265,AG01/11B/2023/058337-10610300,CLM/AG01/11B/2024/03588,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/009732-2097272,AG01/11B/2024/009732-10838729,CLM/AG01/11B/2024/03589,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/012013-2097273,AG01/11B/2024/012013-10854975,CLM/AG01/11B/2024/03590,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015430-2097278,AG01/11B/2024/015430-10888248,CLM/AG01/11B/2024/03591,31-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004146-2097282,AG01/11B/2024/004146-10732605,CLM/AG01/11B/2024/03592,30-08-2024,31-08-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/017090-2097436,AG01/11B/2024/017090-10893818,CLM/AG01/11B/2024/03601,01-09-2024,01-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/056389-2097437,AG01/11B/2023/056389-10591927,CLM/AG01/11B/2024/03602,01-09-2024,01-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010299-2097451,AG01/11B/2024/010299-10845048,CLM/AG01/11B/2024/03608,01-09-2024,01-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010623-2097554,AG01/11B/2024/010623-10846923,CLM/AG01/11B/2024/03622,01-09-2024,02-09-2024,31-12-2024,Payment,1045.5,0,1045.5,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/063500-2097667,AG01/11B/2023/063500-10674712,CLM/AG01/11B/2024/03629,03-09-2024,03-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/054422-2097669,AG01/11B/2023/054422-10575931,CLM/AG01/11B/2024/03630,03-09-2024,03-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/061993-2097677,AG01/11B/2023/061993-10651896,CLM/AG01/11B/2024/03636,03-09-2024,03-09-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015509-2097685,AG01/11B/2024/015509-10888657,CLM/AG01/11B/2024/03638,03-09-2024,03-09-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/003819-2097696,AG01/11B/2024/003819-10725127,CLM/AG01/11B/2024/03642,02-09-2024,03-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/000545-2097766,AG01/11B/2024/000545-10688485,CLM/AG01/11B/2024/03645,05-08-2024,04-09-2024,31-12-2024,Payment,1500,0,1500,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/003561-2097781,AG01/11B/2024/003561-10722586,CLM/AG01/11B/2024/03647,04-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/014567-2097785,AG01/11B/2024/014567-10872137,CLM/AG01/11B/2024/03648,04-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019331-2097786,AG01/11B/2024/019331-10909397,CLM/AG01/11B/2024/03649,04-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020050-2097801,AG01/11B/2024/020050-10915374,CLM/AG01/11B/2024/03653,04-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/022387-2097812,AG01/11B/2024/022387-10930748,CLM/AG01/11B/2024/03657,03-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055093-2097813,AG01/11B/2023/055093-10581022,CLM/AG01/11B/2024/03658,03-09-2024,04-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015815-2097915,AG01/11B/2024/015815-10889942,CLM/AG01/11B/2024/03664,05-09-2024,05-09-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004375-2097918,AG01/11B/2024/004375-10759324,CLM/AG01/11B/2024/03666,05-09-2024,05-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/003992-2097928,AG01/11B/2024/003992-10728956,CLM/AG01/11B/2024/03668,05-09-2024,05-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055151-2097933,AG01/11B/2023/055151-10582065,CLM/AG01/11B/2024/03669,05-09-2024,05-09-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020186-2097951,AG01/11B/2024/020186-10916463,CLM/AG01/11B/2024/03672,06-09-2024,06-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055436-2097952,AG01/11B/2023/055436-10584971,CLM/AG01/11B/2024/03673,06-09-2024,06-09-2024,31-12-2024,Payment,4028,0,4028,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019972-2097958,AG01/11B/2024/019972-10915020,CLM/AG01/11B/2024/03675,06-09-2024,06-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/002325-2097959,AG01/11B/2024/002325-10709083,CLM/AG01/11B/2024/03676,06-09-2024,06-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/009304-2097962,AG01/11B/2024/009304-10830139,CLM/AG01/11B/2024/03677,06-09-2024,06-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/055130-2097981,AG01/11B/2023/055130-10581534,CLM/AG01/11B/2024/03679,07-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/063151-2097982,AG01/11B/2023/063151-10672176,CLM/AG01/11B/2024/03680,07-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/000320-2097990,AG01/11B/2024/000320-10685039,CLM/AG01/11B/2024/03681,07-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/014016-2097991,AG01/11B/2024/014016-10869185,CLM/AG01/11B/2024/03682,07-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/059078-2097995,AG01/11B/2023/059078-10618019,CLM/AG01/11B/2024/03684,07-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020429-2098002,AG01/11B/2024/020429-10918225,CLM/AG01/11B/2024/03686,06-09-2024,07-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/005802-2098107,AG01/11B/2024/005802-10765753,CLM/AG01/11B/2024/03693,08-09-2024,08-09-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/001061-2098126,AG01/11B/2024/001061-10694339,CLM/AG01/11B/2024/03696,08-09-2024,08-09-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/008836-2098131,AG01/11B/2024/008836-10822329,CLM/AG01/11B/2024/03699,08-09-2024,08-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/056554-2098137,AG01/11B/2023/056554-10592433,CLM/AG01/11B/2024/03700,08-09-2024,08-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2023/061677-2098249,AG01/11B/2023/061677-10648446,CLM/AG01/11B/2024/03704,09-09-2024,09-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/003431-2098252,AG01/11B/2024/003431-10721273,CLM/AG01/11B/2024/03705,09-09-2024,09-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/021988-2098253,AG01/11B/2024/021988-10928791,CLM/AG01/11B/2024/03706,09-09-2024,09-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/019299-2098261,AG01/11B/2024/019299-10908798,CLM/AG01/11B/2024/03710,09-09-2024,09-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015102-2098277,AG01/11B/2024/015102-10882601,CLM/AG01/11B/2024/03716,08-09-2024,09-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/001515-2098373,AG01/11B/2024/001515-10699565,CLM/AG01/11B/2024/03721,10-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/003163-2098378,AG01/11B/2024/003163-10718111,CLM/AG01/11B/2024/03723,10-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/004875-2098390,AG01/11B/2024/004875-10768879,CLM/AG01/11B/2024/03729,10-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/007233-2098391,AG01/11B/2024/007233-10786717,CLM/AG01/11B/2024/03730,10-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/015132-2098405,AG01/11B/2024/015132-10884606,CLM/AG01/11B/2024/03733,10-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/020737-2098418,AG01/11B/2024/020737-10921037,CLM/AG01/11B/2024/03738,09-09-2024,10-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/009149-2098507,AG01/11B/2024/009149-10827517,CLM/AG01/11B/2024/03742,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,50,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/007106-2098508,AG01/11B/2024/007106-10784942,CLM/AG01/11B/2024/03743,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,25,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/007916-2098509,AG01/11B/2024/007916-10796605,CLM/AG01/11B/2024/03744,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/001970-2098519,AG01/11B/2024/001970-10704475,CLM/AG01/11B/2024/03745,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/010259-2098525,AG01/11B/2024/010259-10844860,CLM/AG01/11B/2024/03747,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
AG01/11B/2024/001601-2098531,AG01/11B/2024/001601-10700664,CLM/AG01/11B/2024/03748,11-09-2024,11-09-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
